"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Ajay Kumar","Elected","01/08/2011","In office","Jharkhand","Jamshedpur","Jharkhand Vikas Morcha (Prajatantrik)","Male","Professional Graduate","MBBS, IPS",50,15,3,54,"75%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",13.4,0.5,73,"65%",22.3125897627822,69.8003537883374,-69.8003537883374
"Ajay Maken","Elected","18/05/2009","In office","Delhi","New Delhi","Indian National Congress","Male","Graduate","B.A.; Educated at University of Delhi",48,"N/A","N/A","N/A","N/A","This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",28.61033491052,77.2141827103642,-77.2141827103642
"Ajit Singh","Elected","18/05/2009","In office","Uttar Pradesh","Baghpat","Rashtriya Lok Dal","Male","Post Graduate","B.Sc., B. Tech. and M.S.; Educated at Lucknow University, Lucknow; I.I.T. Kharagpur and Illinois Institute of Technology, Chicago (U.S.A.) ",73,2,0,0,"44%","This MP was appointed a minister on 18 December, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 16th December, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",20,0.4,160,"77%",24.1,0.3,131,"80%",30.0369829189715,79.815374572465,-79.815374572465
"Akhilesh Yadav","Elected","18/05/2009","02-05-2012","Uttar Pradesh","Kannauj","Samajwadi Party","Male","Post Graduate","B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",39,4,0,0,"53%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.3,0.6,183,"77%",28.4,0.4,151,"80%",20.1252993645282,81.1092632470914,-81.1092632470914
"Amarnath Pradhan","Elected","18/05/2009","In office","Orissa","Sambalpur","Indian National Congress","Male","Graduate","B.A., Utkal University, Bhubaneswar, Orissa",54,16,0,113,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",21.5562049854357,84.286342141011,-84.286342141011
"Ambica Banerjee","Elected","18/05/2009","In office","West Bengal","Howrah","All India Trinamool Congress","Male","Graduate","Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",84,3,0,139,"62%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",31.6072888432588,75.9175232894213,-75.9175232894213
"Anand Prakash Paranjpe","Elected","18/05/2009","In office","Maharashtra","Kalyan","Shiv Sena","Male","Post Graduate","B.E., M.B.A.; Educated at Pune University, Maharashtra",39,10,0,541,"63%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.8190218132299,83.1596693527253,-83.1596693527253
"Anandrao Adsul","Elected","18/05/2009","In office","Maharashtra","Amravati","Shiv Sena","Male","Graduate","B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",65,29,3,886,"76%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.1544774599744,77.5388540688612,-77.5388540688612
"Anant Gangaram Geete","Elected","18/05/2009","In office","Maharashtra","Raigad","Shiv Sena","Male","Matric","Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",61,42,0,8,"69%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",16.0537293684779,76.9162379137696,-76.9162379137696
"Anant Kumar Hegde","Elected","18/05/2009","In office","Karnataka","Uttara Kannada","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",44,14,2,427,"80%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",14.725510761646,74.5784860142407,-74.5784860142407
"Ananth Kumar","Elected","18/05/2009","In office","Karnataka","Bangalore South","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",53,14,0,152,"87%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.8723208037701,77.5190177676571,-77.5190177676571
"Anantha Venkatarami Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Anantapur","Indian National Congress","Male","Post Graduate","M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",56,12,0,472,"77%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",14.4575320822822,77.6159330169769,-77.6159330169769
"Andimuthu Raja","Elected","18/05/2009","In office","Tamil Nadu","Nilgiris","Dravida Munnetra Kazhagam","Male","Post Graduate","B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",49,0,0,0,"11%","This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",16.4,0.3,129,"77%",20.5,0.2,163,"73%",8.0040514388765,93.3304070646226,-93.3304070646226
"Anirudhan Sampath","Elected","18/05/2009","In office","Kerala","Attingal","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (Eco) L.L.M (Constt. Law)",50,67,0,269,"78%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",50.6,1.1,299,"84%",26.2647219619905,87.3677183275931,-87.3677183275931
"Annu Tandon","Elected","18/05/2009","In office","Uttar Pradesh","Unnao","Indian National Congress","Female","Graduate","B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",54,27,0,155,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.5723285509948,80.5513220008093,-80.5513220008093
"Anto Antony","Elected","18/05/2009","In office","Kerala","Pathanamthitta","Indian National Congress","Male","Graduate","B.A.; Educated at St. Thomas College, Palai",55,60,0,404,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",50.6,1.1,299,"84%",9.2803726427178,76.880513713243,-76.880513713243
"Anup Kumar Saha","Elected","18/05/2009","In office","West Bengal","Bardhaman Purba","Communist Party of India (Marxist)","Male","Doctorate","M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",56,17,0,65,"90%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.4077786484118,87.6081350777633,-87.6081350777633
"Anurag Singh Thakur","Elected","18/05/2009","In office","Himachal Pradesh","Hamirpur","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Doaba College, Jalandhar, Punjab",37,48,0,436,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",70,0.3,273,"89%",25.7814896264188,79.8566257429576,-79.8566257429576
"Arjun Charan Sethi","Elected","18/05/2009","In office","Orissa","Bhadrak","Biju Janata Dal","Male","Post Graduate","M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",70,47,0,189,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.9885447260764,86.6377100245257,-86.6377100245257
"Arjun Munda","Elected","18/05/2009","26-02-2011","Jharkhand","Jamshedpur","Bharatiya Janata Party","Male","Graduate","Graduate, Diploma in Social Science; Educated at IGNOU",44,3,0,152,"43%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",13,0.3,108,"77%",9.9,0.3,105,"65%",22.3125897627822,69.8003537883374,-69.8003537883374
"Arjun Ram Meghwal","Elected","18/05/2009","In office","Rajasthan","Bikaner","Bharatiya Janata Party","Male","Post Graduate","M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",58,323,16,487,"99%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",28.1191493940669,73.0459743822567,-73.0459743822567
"Arjun Roy","Elected","18/05/2009","In office","Bihar","Sitamarhi","Janata Dal (United)","Male","Doctorate","Ph.D; Educated at University of Bihar, Bihar",40,23,0,257,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.5721967838133,85.5336506882157,-85.5336506882157
"Arun Subhashchandra Yadav","Elected","18/05/2009","In office","Madhya Pradesh","Khandwa","Indian National Congress","Male","Graduate","B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",38,1,0,20,"76%","This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",17.8,0.1,88,"83%",17.7021358885742,80.7979331690055,-80.7979331690055
"Aruna Kumar Vundavalli","Elected","18/05/2009","In office","Andhra Pradesh","Rajahmundry","Indian National Congress","Male","Graduate","B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",58,15,0,33,"100%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",23.2674664986656,78.0882271650199,-78.0882271650199
"Arvind Kumar Chaudhary","Elected","18/05/2009","In office","Uttar Pradesh","Basti","Bahujan Samaj Party","Male","Inter/ Higher Secondary",,48,3,0,69,"95%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.8378155311233,82.6008941418826,-82.6008941418826
"Arvind Kumar Sharma","Elected","18/05/2009","In office","Haryana","Karnal","Indian National Congress","Male","Post Graduate","B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",48,13,0,67,"75%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",29.7157422936184,76.8580219122405,-76.8580219122405
"Asaduddin Owaisi","Elected","18/05/2009","In office","Andhra Pradesh","Hyderabad","All India Majlis-E-Ittehadul Muslimmen","Male","Graduate","LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",43,29,1,824,"69%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.3886623624132,78.4650891175992,-78.4650891175992
"Ashok Argal","Elected","18/05/2009","In office","Madhya Pradesh","Bhind","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Morena Board of Secondary Education, Madhya Pradesh",43,54,0,147,"92%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",26.3496350018923,78.6771570946227,-78.6771570946227
"Ashok Kumar Rawat","Elected","18/05/2009","In office","Uttar Pradesh","Misrikh","Bahujan Samaj Party","Male","Post Graduate","M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",36,23,0,592,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.9349957527882,82.6340025713671,-82.6340025713671
"Ashok Tanwar","Elected","18/05/2009","In office","Haryana","Sirsa","Indian National Congress","Male","Post Graduate","M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",36,2,0,136,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",29.6080367098259,74.8883164275749,-74.8883164275749
"Ashwamedh Devi","Elected","18/05/2009","In office","Bihar","Ujiarpur","Janata Dal (United)","Female","Under Matric","Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",44,8,0,69,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",13.4842799180344,74.891111229887,-74.891111229887
"Asrarul Haque Mohammad","Elected","18/05/2009","In office","Bihar","Kishanganj","Indian National Congress","Male","Post Graduate","Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",70,16,0,49,"94%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.2442693512285,87.9519958308502,-87.9519958308502
"Avtar Singh Bhadana","Elected","18/05/2009","In office","Haryana","Faridabad","Indian National Congress","Male","Under Matric",,54,8,0,154,"51%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",28.1759892772921,77.3132286209134,-77.3132286209134
"Awale Jaywant Gangaram","Elected","18/05/2009","In office","Maharashtra","Latur","Indian National Congress","Male","Inter/ Higher Secondary",,72,42,0,262,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",18.3529666844594,76.7484123668034,-76.7484123668034
"Babu Lal Marandi","Elected","18/05/2009","In office","Jharkhand","Kodarma","Jharkhand Vikas Morcha (Prajatantrik)","Male","Graduate","Educated at Ranchi University, Ranchi, Jharkhand",54,2,0,0,"29%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",12.3812370217514,75.7785015536226,-75.7785015536226
"Badri Ram Jakhar","Elected","18/05/2009","In office","Rajasthan","Pali","Indian National Congress","Male","Under Matric",,59,16,0,343,"89%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",25.6095322064086,73.5898368518766,-73.5898368518766
"Badruddin Ajmal","Elected","18/05/2009","In office","Assam","Dhubri","Assam United Democratic Front","Male","Post Graduate","Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",62,22,0,196,"52%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",25.9446701498326,90.0918872415598,-90.0918872415598
"Baidyanath Prasad Mahto","Elected","18/05/2009","In office","Bihar","Valmiki Nagar","Janata Dal (United)","Male","Matric","Educated at H.S. Bathanaha, West Champaran (Bihar) ",65,20,0,228,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.7499023659838,85.3539855763334,-85.3539855763334
"Baijayant Jay Panda","Elected","18/05/2009","In office","Orissa","Kendrapara","Biju Janata Dal","Male","Graduate","Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",48,12,9,699,"63%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.5497338513168,86.6733599942138,-86.6733599942138
"Baju Ban Riyan","Elected","18/05/2009","In office","Tripura","Tripura East","Communist Party of India (Marxist)","Male","Graduate","B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",71,6,0,0,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",18,0.5,100,"79%",26.1204462168461,75.7204385095376,-75.7204385095376
"Bal Kumar Patel","Elected","18/05/2009","In office","Uttar Pradesh","Mirzapur","Samajwadi Party","Male","Inter/ Higher Secondary","Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",48,8,0,205,"84%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.9349957527882,82.6340025713671,-82.6340025713671
"Baliram","Elected","18/05/2009","In office","Uttar Pradesh","Lalganj","Bahujan Samaj Party","Male","Doctorate","M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",58,37,0,256,"93%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",9.9830547550162,72.9331642778204,-72.9331642778204
"Baliram Kashyap","Elected","18/05/2009","09-03-2011","Chhattisgarh","Bastar","Bharatiya Janata Party","Male","Under Matric",,76,0,0,0,"1%","Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",14.3,0.3,114,"77%",5,0,51,"64%",19.4151445192449,81.4553381958303,-81.4553381958303
"Balkrishna Khanderao Shukla","Elected","18/05/2009","In office","Gujarat","Vadodara","Bharatiya Janata Party","Male","Post Graduate","B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",48,20,1,186,"72%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",30.1,1,276,"80%",22.3144032320446,73.5784256545705,-73.5784256545705
"Bansagopal Chowdhury","Elected","18/05/2009","In office","West Bengal","Asansol","Communist Party of India (Marxist)","Male","Graduate","Educated at T.D.B. College, Raniganj, West Bengal",52,24,0,27,"69%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.2647219619905,87.3677183275931,-87.3677183275931
"Bapiraju Kanumuri","Elected","18/05/2009","In office","Andhra Pradesh","Narsapuram","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Hyderabad Public School",65,7,0,0,"91%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",21.7537795578258,73.6530293711909,-73.6530293711909
"Basori Singh Masram","Elected","18/05/2009","In office","Madhya Pradesh","Mandla","Indian National Congress","Male","Under Matric","Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",66,1,0,10,"85%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.7874119298148,80.4286613621329,-80.4286613621329
"Basudeb Acharia","Elected","18/05/2009","In office","West Bengal","Bankura","Communist Party of India (Marxist)","Male","Post Graduate","M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",70,117,6,174,"88%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.1331603236994,87.1883074098803,-87.1883074098803
"Beni Prasad Verma","Elected","18/05/2009","In office","Uttar Pradesh","Gonda","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",71,2,0,0,"99%","This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,"77%",15.4,0.2,78,"80%",27.1103544087321,82.0619879605592,-82.0619879605592
"Bhajan Lal","Elected","18/05/2009","03-06-2011","Haryana","Hisar","Haryana Janhit Congress","Male","Inter/ Higher Secondary","Educated at Government College, Bahawal Nagar (Now in Pakistan) ",81,0,0,0,"39%"," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",3.9,0,63,"69%",29.2634120576097,75.8439267905676,-75.8439267905676
