"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","Age","Debates","Private Member Bills","Questions","Attendance","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Amarnath Pradhan","Elected",18/05/2009,"In office","Orissa","Sambalpur","Indian National Congress","Male","Graduate","B.A., Utkal University, Bhubaneswar, Orissa",54,16,0,113,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,21.556205,84.2863421410110,-084.286342
"Ambica Banerjee","Elected",18/05/2009,"In office","West Bengal","Howrah","All India Trinamool Congress","Male","Graduate","Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",84,3,0,139,62%,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,31.607289,75.9175232894213,-075.917523
"Anand Prakash Paranjpe","Elected",18/05/2009,"In office","Maharashtra","Kalyan","Shiv Sena","Male","Post Graduate","B.E., M.B.A.; Educated at Pune University, Maharashtra",39,10,0,541,63%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,19.819022,83.1596693527253,-083.159669
"Anandrao Adsul","Elected",18/05/2009,"In office","Maharashtra","Amravati","Shiv Sena","Male","Graduate","B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",65,29,3,886,76%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,21.154477,77.5388540688612,-077.538854
"Anant Gangaram Geete","Elected",18/05/2009,"In office","Maharashtra","Raigad","Shiv Sena","Male","Matric","Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",61,42,0,8,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,16.053729,76.9162379137696,-076.916238
"Anant Kumar Hegde","Elected",18/05/2009,"In office","Karnataka","Uttara Kannada","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",44,14,2,427,80%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,14.725511,74.5784860142407,-074.578486
"Ananth Kumar","Elected",18/05/2009,"In office","Karnataka","Bangalore South","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",53,14,0,152,87%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,12.872321,77.5190177676571,-077.519018
"Anantha Venkatarami Reddy","Elected",18/05/2009,"In office","Andhra Pradesh","Anantapur","Indian National Congress","Male","Post Graduate","M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",56,12,0,472,77%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,14.457532,77.6159330169769,-077.615933
"Andimuthu Raja","Elected",18/05/2009,"In office","Tamil Nadu","Nilgiris","Dravida Munnetra Kazhagam","Male","Post Graduate","B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",49,0,0,0,11%,"This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",16.4,0.3,129,77%,20.5,0.2,163,73%,08.004051,93.3304070646226,-093.330407
"Anirudhan Sampath","Elected",18/05/2009,"In office","Kerala","Attingal","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (Eco) L.L.M (Constt. Law)",50,67,0,269,78%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,26.264722,87.3677183275931,-087.367718
"Annu Tandon","Elected",18/05/2009,"In office","Uttar Pradesh","Unnao","Indian National Congress","Female","Graduate","B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",54,27,0,155,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.572329,80.5513220008093,-080.551322
"Anto Antony","Elected",18/05/2009,"In office","Kerala","Pathanamthitta","Indian National Congress","Male","Graduate","B.A.; Educated at St. Thomas College, Palai",55,60,0,404,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,09.280373,76.8805137132430,-076.880514
"Anup Kumar Saha","Elected",18/05/2009,"In office","West Bengal","Bardhaman Purba","Communist Party of India (Marxist)","Male","Doctorate","M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",56,17,0,65,90%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,23.407779,87.6081350777633,-087.608135
"Anurag Singh Thakur","Elected",18/05/2009,"In office","Himachal Pradesh","Hamirpur","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Doaba College, Jalandhar, Punjab",37,48,0,436,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,70,0.3,273,89%,25.781490,79.8566257429576,-079.856626
"Arjun Charan Sethi","Elected",18/05/2009,"In office","Orissa","Bhadrak","Biju Janata Dal","Male","Post Graduate","M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",70,47,0,189,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,20.988545,86.6377100245257,-086.637710
"Arjun Munda","Elected",18/05/2009,"26-02-2011","Jharkhand","Jamshedpur","Bharatiya Janata Party","Male","Graduate","Graduate, Diploma in Social Science; Educated at IGNOU",44,3,0,152,43%,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",13,0.3,108,77%,9.9,0.3,105,65%,22.312590,69.8003537883374,-069.800354
"Arjun Ram Meghwal","Elected",18/05/2009,"In office","Rajasthan","Bikaner","Bharatiya Janata Party","Male","Post Graduate","M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",58,323,16,487,99%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,28.119149,73.0459743822567,-073.045974
"Arjun Roy","Elected",18/05/2009,"In office","Bihar","Sitamarhi","Janata Dal (United)","Male","Doctorate","Ph.D; Educated at University of Bihar, Bihar",40,23,0,257,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,26.572197,85.5336506882157,-085.533651
"Arun Subhashchandra Yadav","Elected",18/05/2009,"In office","Madhya Pradesh","Khandwa","Indian National Congress","Male","Graduate","B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",38,1,0,20,76%,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,17.8,0.1,88,83%,17.702136,80.7979331690055,-080.797933
"Aruna Kumar Vundavalli","Elected",18/05/2009,"In office","Andhra Pradesh","Rajahmundry","Indian National Congress","Male","Graduate","B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",58,15,0,33,100%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,23.267466,78.0882271650199,-078.088227
"Arvind Kumar Chaudhary","Elected",18/05/2009,"In office","Uttar Pradesh","Basti","Bahujan Samaj Party","Male","Inter/ Higher Secondary",,48,3,0,69,95%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,26.837816,82.6008941418826,-082.600894
"Arvind Kumar Sharma","Elected",18/05/2009,"In office","Haryana","Karnal","Indian National Congress","Male","Post Graduate","B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",48,13,0,67,75%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,29.715742,76.8580219122405,-076.858022
"Asaduddin Owaisi","Elected",18/05/2009,"In office","Andhra Pradesh","Hyderabad","All India Majlis-E-Ittehadul Muslimmen","Male","Graduate","LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",43,29,1,824,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,17.388662,78.4650891175992,-078.465089
"Ashok Argal","Elected",18/05/2009,"In office","Madhya Pradesh","Bhind","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Morena Board of Secondary Education, Madhya Pradesh",43,54,0,147,92%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,26.349635,78.6771570946227,-078.677157
"Ashok Kumar Rawat","Elected",18/05/2009,"In office","Uttar Pradesh","Misrikh","Bahujan Samaj Party","Male","Post Graduate","M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",36,23,0,592,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,24.934996,82.6340025713671,-082.634003
"Ashok Tanwar","Elected",18/05/2009,"In office","Haryana","Sirsa","Indian National Congress","Male","Post Graduate","M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",36,2,0,136,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,29.608037,74.8883164275749,-074.888316
"Ashwamedh Devi","Elected",18/05/2009,"In office","Bihar","Ujiarpur","Janata Dal (United)","Female","Under Matric","Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",44,8,0,69,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,13.484280,74.8911112298870,-074.891111
"Asrarul Haque Mohammad","Elected",18/05/2009,"In office","Bihar","Kishanganj","Indian National Congress","Male","Post Graduate","Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",70,16,0,49,94%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,26.244269,87.9519958308502,-087.951996
"Avtar Singh Bhadana","Elected",18/05/2009,"In office","Haryana","Faridabad","Indian National Congress","Male","Under Matric",,54,8,0,154,51%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,28.175989,77.3132286209134,-077.313229
"Awale Jaywant Gangaram","Elected",18/05/2009,"In office","Maharashtra","Latur","Indian National Congress","Male","Inter/ Higher Secondary",,72,42,0,262,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,18.352967,76.7484123668034,-076.748412
"Babu Lal Marandi","Elected",18/05/2009,"In office","Jharkhand","Kodarma","Jharkhand Vikas Morcha (Prajatantrik)","Male","Graduate","Educated at Ranchi University, Ranchi, Jharkhand",54,2,0,0,29%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,12.381237,75.7785015536226,-075.778502
"Badri Ram Jakhar","Elected",18/05/2009,"In office","Rajasthan","Pali","Indian National Congress","Male","Under Matric",,59,16,0,343,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,25.609532,73.5898368518766,-073.589837
"Badruddin Ajmal","Elected",18/05/2009,"In office","Assam","Dhubri","Assam United Democratic Front","Male","Post Graduate","Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",62,22,0,196,52%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,25.944670,90.0918872415598,-090.091887
"Baidyanath Prasad Mahto","Elected",18/05/2009,"In office","Bihar","Valmiki Nagar","Janata Dal (United)","Male","Matric","Educated at H.S. Bathanaha, West Champaran (Bihar) ",65,20,0,228,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,25.749902,85.3539855763334,-085.353986
"Baijayant Jay Panda","Elected",18/05/2009,"In office","Orissa","Kendrapara","Biju Janata Dal","Male","Graduate","Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",48,12,9,699,63%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,20.549734,86.6733599942138,-086.673360
"Baju Ban Riyan","Elected",18/05/2009,"In office","Tripura","Tripura East","Communist Party of India (Marxist)","Male","Graduate","B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",71,6,0,0,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,18,0.5,100,79%,26.120446,75.7204385095376,-075.720439
"Bal Kumar Patel","Elected",18/05/2009,"In office","Uttar Pradesh","Mirzapur","Samajwadi Party","Male","Inter/ Higher Secondary","Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",48,8,0,205,84%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,24.934996,82.6340025713671,-082.634003
"Baliram","Elected",18/05/2009,"In office","Uttar Pradesh","Lalganj","Bahujan Samaj Party","Male","Doctorate","M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",58,37,0,256,93%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,09.983055,72.9331642778204,-072.933164
"Baliram Kashyap","Elected",18/05/2009,"09-03-2011","Chhattisgarh","Bastar","Bharatiya Janata Party","Male","Under Matric",,76,0,0,0,1%,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",14.3,0.3,114,77%,5,0,51,64%,19.415145,81.4553381958303,-081.455338
"Balkrishna Khanderao Shukla","Elected",18/05/2009,"In office","Gujarat","Vadodara","Bharatiya Janata Party","Male","Post Graduate","B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",48,20,1,186,72%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,22.314403,73.5784256545705,-073.578426
"Bansagopal Chowdhury","Elected",18/05/2009,"In office","West Bengal","Asansol","Communist Party of India (Marxist)","Male","Graduate","Educated at T.D.B. College, Raniganj, West Bengal",52,24,0,27,69%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,26.264722,87.3677183275931,-087.367718
"Bapiraju Kanumuri","Elected",18/05/2009,"In office","Andhra Pradesh","Narsapuram","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Hyderabad Public School",65,7,0,0,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,21.753780,73.6530293711909,-073.653029
"Basori Singh Masram","Elected",18/05/2009,"In office","Madhya Pradesh","Mandla","Indian National Congress","Male","Under Matric","Educated at Higher Secondary School, Bichhiya and Middle School, Tatri, Distt. Mandla, Madhya Pradesh",66,1,0,10,85%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,22.787412,80.4286613621329,-080.428661
"Basudeb Acharia","Elected",18/05/2009,"In office","West Bengal","Bankura","Communist Party of India (Marxist)","Male","Post Graduate","M.A., B.T.; Educated at Ranchi University, Ranchi, Bihar and Calcutta University, Calcutta, West Bengal",70,117,6,174,88%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,23.133160,87.1883074098803,-087.188307
"Beni Prasad Verma","Elected",18/05/2009,"In office","Uttar Pradesh","Gonda","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Lucknow University, Lucknow, Uttar Pradesh",71,2,0,0,99%,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,77%,15.4,0.2,78,80%,27.110354,82.0619879605592,-082.061988
"Bhajan Lal","Elected",18/05/2009,"03-06-2011","Haryana","Hisar","Haryana Janhit Congress","Male","Inter/ Higher Secondary","Educated at Government College, Bahawal Nagar (Now in Pakistan) ",81,0,0,0,39%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,77%,3.9,0,63,69%,29.263412,75.8439267905676,-075.843927
"Bhakta Charan Das","Elected",18/05/2009,"In office","Orissa","Kalahandi","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur (Orissa) ",53,39,1,184,89%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,19.819022,83.1596693527253,-083.159669
"Bharat Ram Meghwal","Elected",18/05/2009,"In office","Rajasthan","Ganganagar","Indian National Congress","Male","Graduate","B.A., B.Ed.; Educated at Rajasthan University, Jaipur and Kota",56,13,0,150,91%," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,29.455117,73.4809781035064,-073.480978
