"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Akhilesh Yadav","Elected","18/05/2009","02-05-2012","Uttar Pradesh","Kannauj","Samajwadi Party","Male","Post Graduate","B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",39,39,4,19,19,0,2,2,0,85,85,"53%",0.73,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.3,0.6,183,"77%",28.4,0.4,151,"80%",20.125299,81.1092632470914,-81.109263
"Amarnath Pradhan","Elected","18/05/2009","In office","Orissa","Sambalpur","Indian National Congress","Male","Graduate","B.A., Utkal University, Bhubaneswar, Orissa",54,54,16,31,31,0,2,2,113,198,198,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",21.556205,84.286342141011,-84.286342
"Ambica Banerjee","Elected","18/05/2009","In office","West Bengal","Howrah","All India Trinamool Congress","Male","Graduate","Mechanical Engineer (Sales); Educated at Hatfield Technical College, London",84,84,3,18,18,0,2,2,139,224,224,"62%",0.82,0.82,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",31.607289,75.9175232894213,-75.917523
"Anand Prakash Paranjpe","Elected","18/05/2009","In office","Maharashtra","Kalyan","Shiv Sena","Male","Post Graduate","B.E., M.B.A.; Educated at Pune University, Maharashtra",39,39,10,25,25,0,2,2,541,626,626,"63%",0.83,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",19.819022,83.1596693527253,-83.159669
"Anandrao Adsul","Elected","18/05/2009","In office","Maharashtra","Amravati","Shiv Sena","Male","Graduate","B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",65,65,29,44,44,3,5,5,886,971,971,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.154477,77.5388540688612,-77.538854
"Anant Gangaram Geete","Elected","18/05/2009","In office","Maharashtra","Raigad","Shiv Sena","Male","Matric","Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",61,61,42,57,57,0,2,2,8,93,93,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",16.053729,76.9162379137696,-76.916238
"Anant Kumar Hegde","Elected","18/05/2009","In office","Karnataka","Uttara Kannada","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",44,44,14,29,29,2,4,4,427,512,512,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",14.725511,74.5784860142407,-74.578486
"Ananth Kumar","Elected","18/05/2009","In office","Karnataka","Bangalore South","Bharatiya Janata Party","Male","Graduate","B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",53,53,14,29,29,0,2,2,152,237,237,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",12.872321,77.5190177676571,-77.519018
"Anantha Venkatarami Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Anantapur","Indian National Congress","Male","Post Graduate","M.A., B.L.; Educated at Sri Venkateswara University and Sri Krishnadevaraya University, Anantapur, Andhra Pradesh",56,56,12,27,27,0,2,2,472,557,557,"77%",0.97,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",14.457532,77.6159330169769,-77.615933
"Andimuthu Raja","Elected","18/05/2009","In office","Tamil Nadu","Nilgiris","Dravida Munnetra Kazhagam","Male","Post Graduate","B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",49,49,0,15,15,0,2,2,0,85,85,"11%",0.31,0.31,"This MP was a Minister. He tendered his resignation on 14th November, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 15th November (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",16.4,0.3,129,"77%","19/01/1900",0.2,163,"73%",8.004051,93.3304070646226,-93.330407
"Anirudhan Sampath","Elected","18/05/2009","In office","Kerala","Attingal","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (Eco) L.L.M (Constt. Law)",50,50,67,82,82,0,2,2,269,354,354,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",26.264722,87.3677183275931,-87.367718
"Annu Tandon","Elected","18/05/2009","In office","Uttar Pradesh","Unnao","Indian National Congress","Female","Graduate","B.Sc. (Chemistry, Zoology and Botany); Dayanand Subhash National Post Graduate College, Unnao (Uttar Pradesh) ",54,54,27,42,42,0,2,2,155,240,240,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.572329,80.5513220008093,-80.551322
"Anto Antony","Elected","18/05/2009","In office","Kerala","Pathanamthitta","Indian National Congress","Male","Graduate","B.A.; Educated at St. Thomas College, Palai",55,55,60,75,75,0,2,2,404,489,489,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",9.280373,76.880513713243,-76.880514
"Anup Kumar Saha","Elected","18/05/2009","In office","West Bengal","Bardhaman Purba","Communist Party of India (Marxist)","Male","Doctorate","M.B.B.S., M.S. (Surgery), Ph.D. (Pursuing); Educated at Burdwan Medical College, and University College of Medicine, Calcutta, West Bengal",56,56,17,32,32,0,2,2,65,150,150,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.407779,87.6081350777633,-87.608135
"Anurag Singh Thakur","Elected","18/05/2009","In office","Himachal Pradesh","Hamirpur","Bharatiya Janata Party","Male","Graduate","B.A.; Educated at Doaba College, Jalandhar, Punjab",37,37,48,63,63,0,2,2,436,521,521,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",70,0.3,273,"89%",25.78149,79.8566257429576,-79.856626
"Arjun Charan Sethi","Elected","18/05/2009","In office","Orissa","Bhadrak","Biju Janata Dal","Male","Post Graduate","M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",70,70,47,62,62,0,2,2,189,274,274,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.988545,86.6377100245257,-86.63771
"Arjun Munda","Elected","18/05/2009","26-02-2011","Jharkhand","Jamshedpur","Bharatiya Janata Party","Male","Graduate","Graduate, Diploma in Social Science; Educated at IGNOU",44,44,3,18,18,0,2,2,152,237,237,"43%",0.63,0.63,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",13,0.3,108,"77%",9.9,0.3,105,"65%",22.31259,69.8003537883374,-69.800354
"Arjun Ram Meghwal","Elected","18/05/2009","In office","Rajasthan","Bikaner","Bharatiya Janata Party","Male","Post Graduate","M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",58,58,323,338,338,16,18,18,487,572,572,"99%",1.19,1.19," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",28.119149,73.0459743822567,-73.045974
"Arjun Roy","Elected","18/05/2009","In office","Bihar","Sitamarhi","Janata Dal (United)","Male","Doctorate","Ph.D; Educated at University of Bihar, Bihar",40,40,23,38,38,0,2,2,257,342,342,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.572197,85.5336506882157,-85.533651
"Arun Subhashchandra Yadav","Elected","18/05/2009","In office","Madhya Pradesh","Khandwa","Indian National Congress","Male","Graduate","B.Com.; Schooling at Daly College, Indore, Madhya Pradesh, S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",38,38,1,16,16,0,2,2,20,105,105,"76%",0.96,0.96,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,"77%",17.8,0.1,88,"83%",17.702136,80.7979331690055,-80.797933
"Aruna Kumar Vundavalli","Elected","18/05/2009","In office","Andhra Pradesh","Rajahmundry","Indian National Congress","Male","Graduate","B.Com, B.L.; Educated at Govt. College Rajamundry and C.R. Reddy Law College, Eluru",58,58,15,30,30,0,2,2,33,118,118,"100%",1.2,1.2," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",23.267466,78.0882271650199,-78.088227
"Arvind Kumar Chaudhary","Elected","18/05/2009","In office","Uttar Pradesh","Basti","Bahujan Samaj Party","Male","Inter/ Higher Secondary",,48,48,3,18,18,0,2,2,69,154,154,"95%",1.15,1.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.837816,82.6008941418826,-82.600894
"Arvind Kumar Sharma","Elected","18/05/2009","In office","Haryana","Karnal","Indian National Congress","Male","Post Graduate","B.D.S., M.D.S.; Eduated at Gujarat University, Ahmedabad, M.D. University, Rohtak",48,48,13,28,28,0,2,2,67,152,152,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",29.715742,76.8580219122405,-76.858022
"Asaduddin Owaisi","Elected","18/05/2009","In office","Andhra Pradesh","Hyderabad","All India Majlis-E-Ittehadul Muslimmen","Male","Graduate","LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",43,43,29,44,44,1,3,3,824,909,909,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.388662,78.4650891175992,-78.465089
"Ashok Argal","Elected","18/05/2009","In office","Madhya Pradesh","Bhind","Bharatiya Janata Party","Male","Inter/ Higher Secondary","Educated at Morena Board of Secondary Education, Madhya Pradesh",43,43,54,69,69,0,2,2,147,232,232,"92%",1.12,1.12," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",26.349635,78.6771570946227,-78.677157
"Ashok Kumar Rawat","Elected","18/05/2009","In office","Uttar Pradesh","Misrikh","Bahujan Samaj Party","Male","Post Graduate","M.A.; Educated at Lucknow University, Lucknow, Uttar Pradesh",36,36,23,38,38,0,2,2,592,677,677,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.934996,82.6340025713671,-82.634003
"Ashok Tanwar","Elected","18/05/2009","In office","Haryana","Sirsa","Indian National Congress","Male","Post Graduate","M.A., M.Phil (History); Educated at Jawahar Lal Nehru University, New Delhi",36,36,2,17,17,0,2,2,136,221,221,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",29.608037,74.8883164275749,-74.888316
"Ashwamedh Devi","Elected","18/05/2009","In office","Bihar","Ujiarpur","Janata Dal (United)","Female","Under Matric","Educated at Govt. Middle School, Bajitpur Meyari, Sarai Ranjan, Samastipur, Bihar",44,44,8,23,23,0,2,2,69,154,154,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",13.48428,74.891111229887,-74.891111
"Asrarul Haque Mohammad","Elected","18/05/2009","In office","Bihar","Kishanganj","Indian National Congress","Male","Post Graduate","Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",70,70,16,31,31,0,2,2,49,134,134,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.244269,87.9519958308502,-87.951996
"Avtar Singh Bhadana","Elected","18/05/2009","In office","Haryana","Faridabad","Indian National Congress","Male","Under Matric",,54,54,8,23,23,0,2,2,154,239,239,"51%",0.71,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",28.175989,77.3132286209134,-77.313229
"Awale Jaywant Gangaram","Elected","18/05/2009","In office","Maharashtra","Latur","Indian National Congress","Male","Inter/ Higher Secondary",,72,72,42,57,57,0,2,2,262,347,347,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",18.352967,76.7484123668034,-76.748412
"Babu Lal Marandi","Elected","18/05/2009","In office","Jharkhand","Kodarma","Jharkhand Vikas Morcha (Prajatantrik)","Male","Graduate","Educated at Ranchi University, Ranchi, Jharkhand",54,54,2,17,17,0,2,2,0,85,85,"29%",0.49,0.49," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",12.381237,75.7785015536226,-75.778502
"Badri Ram Jakhar","Elected","18/05/2009","In office","Rajasthan","Pali","Indian National Congress","Male","Under Matric",,59,59,16,31,31,0,2,2,343,428,428,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",25.609532,73.5898368518766,-73.589837
"Badruddin Ajmal","Elected","18/05/2009","In office","Assam","Dhubri","Assam United Democratic Front","Male","Post Graduate","Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",62,62,22,37,37,0,2,2,196,281,281,"52%",0.72,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",25.94467,90.0918872415598,-90.091887
"Baidyanath Prasad Mahto","Elected","18/05/2009","In office","Bihar","Valmiki Nagar","Janata Dal (United)","Male","Matric","Educated at H.S. Bathanaha, West Champaran (Bihar) ",65,65,20,35,35,0,2,2,228,313,313,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.749902,85.3539855763334,-85.353986
"Baijayant Jay Panda","Elected","18/05/2009","In office","Orissa","Kendrapara","Biju Janata Dal","Male","Graduate","Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",48,48,12,27,27,9,11,11,699,784,784,"63%",0.83,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",20.549734,86.6733599942138,-86.67336
"Baju Ban Riyan","Elected","18/05/2009","In office","Tripura","Tripura East","Communist Party of India (Marxist)","Male","Graduate","B.Sc.; Educated at Maharaja Bira Bikram College, Agartala, Tripura",71,71,6,21,21,0,2,2,0,85,85,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",18,0.5,"09/04/1900","79%",26.120446,75.7204385095376,-75.720439
"Bal Kumar Patel","Elected","18/05/2009","In office","Uttar Pradesh","Mirzapur","Samajwadi Party","Male","Inter/ Higher Secondary","Educated at Bhauri Intermediate College, Distt. Chitrakoot, Uttar Pradesh",48,48,8,23,23,0,2,2,205,290,290,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",24.934996,82.6340025713671,-82.634003
"Baliram","Elected","18/05/2009","In office","Uttar Pradesh","Lalganj","Bahujan Samaj Party","Male","Doctorate","M.A., M.Ed., Ph.D.; Educated at Banaras Hindu University (BHU), Varanasi, Uttar Pradesh",58,58,37,52,52,0,2,2,256,341,341,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",9.983055,72.9331642778204,-72.933164
"Baliram Kashyap","Elected","18/05/2009","09-03-2011","Chhattisgarh","Bastar","Bharatiya Janata Party","Male","Under Matric",,76,76,0,15,15,0,2,2,0,85,85,"1%",0.21,0.21,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",14.3,0.3,114,"77%",5,0,51,"64%",19.415145,81.4553381958303,-81.455338
"Balkrishna Khanderao Shukla","Elected","18/05/2009","In office","Gujarat","Vadodara","Bharatiya Janata Party","Male","Post Graduate","B.Sc., MBA (HRM); Educated at M.S. University of Baroda, Vadodara (Gujarat) ",48,48,20,35,35,1,3,3,186,271,271,"72%",0.92,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",22.314403,73.5784256545705,-73.578426
"Bansagopal Chowdhury","Elected","18/05/2009","In office","West Bengal","Asansol","Communist Party of India (Marxist)","Male","Graduate","Educated at T.D.B. College, Raniganj, West Bengal",52,52,24,39,39,0,2,2,27,112,112,"69%",0.89,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.264722,87.3677183275931,-87.367718
"Bapiraju Kanumuri","Elected","18/05/2009","In office","Andhra Pradesh","Narsapuram","Indian National Congress","Male","Inter/ Higher Secondary","Educated at Hyderabad Public School",65,65,7,22,22,0,2,2,0,85,85,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",21.75378,73.6530293711909,-73.653029
